id,title,authors,year,venue,type,doi,url,research_areas,featured
2026-a-navigation-framework-for-bicycle-rider,A navigation framework for bicycle riders based on environmental and contextual factors,federico-montori|ext:Rocco Pastore|luca-sciullo|luciano-bononi|ext:Luca Bedogni,2026,Pervasive and Mobile Computing,journal,https://doi.org/10.1016/j.pmcj.2026.102196,https://www.sciencedirect.com/science/article/pii/S1574119226000374,context-awareness,0
2026-algorithms-language-and-poetry-a-phenome,"Algorithms, language, and poetry: a phenomenological perspective",ext:Daniel Turillazzi Fornés|angelo-trotta,2026,AI and Ethics,journal,https://doi.org/10.1007/s43681-025-00948-6,https://link.springer.com/article/10.1007/s43681-025-00948-6,iot-interoperability,0
2026-artificial-intelligence-predicts-gba1-mu,Artificial Intelligence Predicts GBA1 Mutated Status in Parkinson's Disease Patients,ext:Giulia Di Rauso|ext:Alessandro Ghibellini|ext:Sara Grisanti|ext:Valentina Fioravanti|ext:Edoardo Monfrini|ext:Giulia Toschi|ext:Giacomo Portaro|ext:Giacomo Argenziano|ext:Ruggero Bacchin|ext:Jessica Rossi|ext:Rossella Sabadini|ext:Valeria Ferrari|ext:Andrea Melpignano|ext:Francesca Pacillo|ext:Maria Scarano|ext:Anna Groppi|ext:Luca Gherardini|ext:Chiara Lucchi|ext:Giuseppe Biagini|ext:Sara Montepietra|ext:Maria Chiara Malaguti|ext:Isabella Campanini|ext:Andrea Merlo|ext:Andrea Castellucci|ext:Angelo Ghidini|ext:Alessandro Fraternali|ext:Annibale Versari|ext:Augusto Scaglioni|ext:Jefri J Paul|luciano-bononi|ext:Maurizio Gabbrielli|ext:Alessio Di Fonzo|ext:Peter Bauer|ext:Francesco Cavallieri|ext:Franco Valzania,2026,Movement Disorders Clinical Practice,journal,https://doi.org/10.1002/mdc3.70334,https://movementdisorders.onlinelibrary.wiley.com/doi/abs/10.1002/mdc3.70334,iot-interoperability,0
2026-distributed-split-computing-using-diffus,Distributed split computing using diffusive metrics for UAV swarms,ext:Talip Tolga Sarı|ext:Gökhan Seçinti|angelo-trotta,2026,Journal of Systems Architecture,journal,https://doi.org/10.1016/j.sysarc.2026.103804,https://www.sciencedirect.com/science/article/pii/S1383762126001220,autonomous-robotic-iot,0
2026-pioneering-the-hybridization-of-federate,Pioneering the Hybridization of Federated Learning in Human Activity Recognition,alfonso-esposito|yasmin-moghbelan|ivan-zyrianoff|leonardo-ciabattini|federico-montori|marco-di-felice,2026,,journal,,https://www.taylorfrancis.com/chapters/oa-edit/10.1201/9788743808862-2/pioneering-hybridization-federated-learning-human-activity-recognition-alfonso-esposito-yasamin-moghbelan-ivan-zyrianoff-leonardo-ciabattini-federico-montori-marco-di-felice,context-awareness,0
2026-private-inference-at-the-extreme-edge-jo,Private Inference at the Extreme Edge: Joint Mixed Precision Quantization and Model Splitting in Multi-Hop IoT Networks,angelo-trotta|alfonso-esposito|luca-sciullo|luciano-bononi|marco-di-felice,2026,Consumer Communications and Networking Conference,conference,https://doi.org/10.1109/CCNC65079.2026.11366617,https://ieeexplore.ieee.org/abstract/document/11366617/,edge-computing,0
2025-a-comprehensive-approach-to-residual-val,A Comprehensive Approach to Residual Value Analysis in the Luxury Automotive Market,ext:A Ghibellini|ext:A Scioletti|ext:M Coletto|luciano-bononi|ext:M Gabbrielli,2025,IEEE Access,journal,https://doi.org/10.1109/ACCESS.2025.3591765,https://ieeexplore.ieee.org/abstract/document/11091377/,iot-interoperability,0
2025-a-framework-for-improving-social-inclusi,A Framework for Improving Social Inclusion using Network Analysis and IoT-based Contact Tracing,ext:Saverio Giallorenzo|ext:Emanuele Sinagra|angelo-trotta|ext:Loris Vergolini|ext:Andrea Zanellati,2025,IEEE Transactions on Network Science and Engineering,journal,https://doi.org/10.1109/TNSE.2025.3633148,https://ieeexplore.ieee.org/abstract/document/11250777/,iot-interoperability|context-awareness,0
2025-a-location-aware-webassembly-based-softw,A Location-Aware WebAssembly-Based Software Update Framework for IoT End Devices,ivan-zyrianoff|federico-montori|angelo-trotta|luca-sciullo|lorenzo-gigli|carlos-alberto-kamienski|marco-di-felice,2025,Consumer Communications and Networking Conference,conference,https://doi.org/10.1109/CCNC54725.2025.10976056,https://ieeexplore.ieee.org/abstract/document/10976056/,edge-computing|context-awareness,0
2025-achieving-seamless-iot-interoperability,Achieving seamless iot interoperability through data plane programmability,alexandre-heideker|ext:Dener Silva|carlos-alberto-kamienski|angelo-trotta,2025,Consumer Communications and Networking Conference,conference,https://doi.org/10.1109/CCNC54725.2025.10975866,https://ieeexplore.ieee.org/abstract/document/10975866/,iot-interoperability,0
